"","Year","Land_Ocean_Temp","CO2_Concentration","N2O_Concentration","CH4_Concentration","Year1","Entity","Population","GDP_PerCap","GDP_Rank","CO2_Share","CO2_Share_Rank","Year2","Entity1","CO2_Emissions","CO2_PerCap","CO2_PerCapRank","N2O_Emissions","N2O_PerCap","N2O_PerCapRank","Year3","Entity2","CH4_Emissions","CH4_PerCap","CH4_PerCapRank"
"1","1955",13.77,314.71,290.1,1207.03,"1955","Afghanistan",827.1,NA,NA,0.0021,"Less Than 0.5%","1955","Afghanistan",15.3888,0.0186057308668843,"Very Low",NA,NA,NA,"1955","Afghanistan",NA,NA,NA
"2","1956",13.72,315.34,NA,NA,"1956","Afghanistan",839.9,NA,NA,0.0024,"Less Than 0.5%","1956","Afghanistan",18.32,0.0218121204905346,"Very Low",NA,NA,NA,"1956","Afghanistan",NA,NA,NA
"3","1957",13.97,315.34,NA,NA,"1957","Afghanistan",853.5,NA,NA,0.0037,"Less Than 0.5%","1957","Afghanistan",29.312,0.0343432923257176,"Very Low",NA,NA,NA,"1957","Afghanistan",NA,NA,NA
"4","1958",14.03,315.34,NA,NA,"1958","Afghanistan",868,NA,NA,0.004,"Less Than 0.5%","1958","Afghanistan",32.976,0.0379907834101382,"Very Low",NA,NA,NA,"1958","Afghanistan",NA,NA,NA
"5","1959",13.98,315.97,NA,NA,"1959","Afghanistan",883.4,NA,NA,0.0043,"Less Than 0.5%","1959","Afghanistan",38.457142,0.0435331016527055,"Very Low",NA,NA,NA,"1959","Afghanistan",NA,NA,NA
"6","1960",13.95,316.91,291.4,1262.97,"1960","Afghanistan",899.7,59.77,"Very Low",0.0044,"Less Than 0.5%","1960","Afghanistan",41.388342,0.0460023807935979,"Very Low",NA,NA,NA,"1960","Afghanistan",NA,NA,NA
"7","1961",14,317.64,NA,NA,"1961","Afghanistan",916.9,59.86,"Very Low",0.0052,"Less Than 0.5%","1961","Afghanistan",49.07977,0.0535279419784055,"Very Low",NA,NA,NA,"1961","Afghanistan",NA,NA,NA
"8","1962",14.01,318.45,NA,NA,"1962","Afghanistan",935.1,58.46,"Very Low",0.007,"Less Than 0.5%","1962","Afghanistan",68.859427,0.073638570206395,"Very Low",NA,NA,NA,"1962","Afghanistan",NA,NA,NA
"9","1963",14.02,318.99,NA,NA,"1963","Afghanistan",954.3,78.71,"Very Low",0.0068,"Less Than 0.5%","1963","Afghanistan",70.673598,0.0740580509273813,"Very Low",NA,NA,NA,"1963","Afghanistan",NA,NA,NA
"10","1964",13.76,319.62,NA,NA,"1964","Afghanistan",974.5,82.1,"Very Low",0.0076,"Less Than 0.5%","1964","Afghanistan",83.855083,0.0860493412006157,"Very Low",NA,NA,NA,"1964","Afghanistan",NA,NA,NA
"11","1965",13.83,320.04,292.9,1328.47,"1965","Afghanistan",995.6,101.11,"Very Low",0.0088,"Less Than 0.5%","1965","Afghanistan",100.691653,0.101136654278827,"Very Low",NA,NA,NA,"1965","Afghanistan",NA,NA,NA
"12","1966",13.89,321.38,NA,NA,"1966","Afghanistan",1017.5,137.59,"Very Low",0.0091,"Less Than 0.5%","1966","Afghanistan",109.115882,0.107239196068796,"Very Low",NA,NA,NA,"1966","Afghanistan",NA,NA,NA
"13","1967",13.9,322.16,NA,NA,"1967","Afghanistan",1040,160.9,"Very Low",0.0103,"Less Than 0.5%","1967","Afghanistan",128.186511,0.123256260576923,"Very Low",NA,NA,NA,"1967","Afghanistan",NA,NA,NA
"14","1968",13.87,323.04,NA,NA,"1968","Afghanistan",1063.7,129.11,"Very Low",0.0094,"Less Than 0.5%","1968","Afghanistan",122.338969,0.115012662404813,"Very Low",NA,NA,NA,"1968","Afghanistan",NA,NA,NA
"15","1969",14.01,324.62,NA,NA,"1969","Afghanistan",1089.4,129.33,"Very Low",0.0068,"Less Than 0.5%","1969","Afghanistan",94.123198,0.0863991169451074,"Very Low",NA,NA,NA,"1969","Afghanistan",NA,NA,NA
"16","1970",13.96,325.68,294.9,1403.19,"1970","Afghanistan",1117.4,156.52,"Very Low",0.0113,"Less Than 0.5%","1970","Afghanistan",167.039769,0.149489680508323,"Very Low",304.22563,0.272262063719349,"Very Low","1970","Afghanistan",1020.2,0.913012350098443,"Low"
"17","1971",13.83,326.32,NA,NA,"1971","Afghanistan",1147.5,159.57,"Very Low",0.0123,"Less Than 0.5%","1971","Afghanistan",189.393141,0.165048488888889,"Very Low",300.613819999999,0.261972827886709,"Very Low","1971","Afghanistan",1020.15,0.889019607843137,"Low"
"18","1972",13.94,327.45,NA,NA,"1972","Afghanistan",1179.1,135.32,"Very Low",0.0096,"Less Than 0.5%","1972","Afghanistan",153.116569,0.129858849122212,"Very Low",253.0158,0.214583835128488,"Very Low","1972","Afghanistan",917.059,0.777761852260198,"Low"
"19","1973",14.09,329.68,NA,NA,"1973","Afghanistan",1210.9,143.14,"Very Low",0.0097,"Less Than 0.5%","1973","Afghanistan",163.72434,0.135208803369395,"Very Low",267.44041,0.220860855561979,"Very Low","1973","Afghanistan",940.354,0.776574448757123,"Very Low"
"20","1974",13.84,330.18,NA,NA,"1974","Afghanistan",1241.3,173.65,"Very Low",0.0113,"Less Than 0.5%","1974","Afghanistan",191.567768,0.154328339643922,"Very Low",293.73182,0.236632417626682,"Very Low","1974","Afghanistan",998.793,0.804634657214211,"Low"
"21","1975",13.91,331.11,297.4,1483.57,"1975","Afghanistan",1268.9,186.51,"Very Low",0.0126,"Less Than 0.5%","1975","Afghanistan",212.452568,0.167430505161951,"Very Low",315.3723,0.248539916463078,"Very Low","1975","Afghanistan",1047.66,0.82564425880684,"Low"
"22","1976",13.83,332.04,NA,NA,"1976","Afghanistan",1294.3,197.45,"Very Low",0.0111,"Less Than 0.5%","1976","Afghanistan",198.422538,0.153304904581627,"Very Low",326.5633,0.252308815575987,"Very Low","1976","Afghanistan",1053.56,0.813999845476319,"Low"
"23","1977",14.11,333.83,NA,NA,"1977","Afghanistan",1317.1,224.22,"Very Low",0.013,"Less Than 0.5%","1977","Afghanistan",238.674567,0.181212183585149,"Very Low",326.8981,0.248195353427986,"Very Low","1977","Afghanistan",1045.59,0.793857717713158,"Low"
